temperature,humidity,luminosity,power
22.5,55.0,150,500
23.1,54.2,165,520
22.8,56.1,142,480
24.0,53.5,178,550
23.5,55.8,160,510
22.9,54.0,155,495
23.2,56.5,148,505
24.1,52.8,170,560
23.6,55.2,162,515
22.7,56.8,145,485
23.8,54.5,175,540
23.3,55.0,158,500
22.6,57.2,140,470
24.2,53.0,180,570
23.4,54.8,166,525
22.8,56.0,152,490
23.7,55.5,168,530
23.0,54.2,156,495
24.3,52.5,185,580
23.1,55.8,163,510
22.9,56.3,149,485
23.9,54.0,172,545
23.5,55.2,160,515
22.7,57.0,143,475
24.0,53.8,177,555
23.2,54.5,157,500
22.8,56.5,150,490
23.6,55.0,165,520
23.4,54.2,161,505
22.6,57.5,138,465
23.5,55.8,160,510
22.9,54.0,155,495
23.2,56.5,148,505
24.1,52.8,170,560
23.6,55.2,162,515
22.7,56.8,145,485
23.8,54.5,175,540
23.3,55.0,158,500
22.6,57.2,140,470
24.2,53.0,180,570
23.4,54.8,166,525
22.8,56.0,152,490
23.7,55.5,168,530
23.0,54.2,156,495
24.3,52.5,185,580
23.1,55.8,163,510
22.9,56.3,149,485
23.9,54.0,172,545
23.5,55.2,160,515
22.7,57.0,143,475
24.0,53.8,177,555
23.2,54.5,157,500
22.8,56.5,150,490
23.6,55.0,165,520
23.4,54.2,161,505
22.6,57.5,138,465
23.5,55.8,160,510
22.9,54.0,155,495
23.2,56.5,148,505
24.1,52.8,170,560
23.6,55.2,162,515
22.7,56.8,145,485
23.8,54.5,175,540
23.3,55.0,158,500
22.6,57.2,140,470
24.2,53.0,180,570
23.4,54.8,166,525
22.8,56.0,152,490
23.7,55.5,168,530
23.0,54.2,156,495
24.3,52.5,185,580
23.1,55.8,163,510
22.9,56.3,149,485
23.9,54.0,172,545
23.5,55.2,160,515
22.7,57.0,143,475
24.0,53.8,177,555
23.2,54.5,157,500
22.8,56.5,150,490
23.6,55.0,165,520
23.4,54.2,161,505
22.6,57.5,138,465
23.5,55.8,160,510
22.9,54.0,155,495
23.2,56.5,148,505
24.1,52.8,170,560
23.6,55.2,162,515
22.7,56.8,145,485
23.8,54.5,175,540
23.3,55.0,158,500
22.6,57.2,140,470
24.2,53.0,180,570
23.4,54.8,166,525
22.8,56.0,152,490
23.7,55.5,168,530
23.0,54.2,156,495
24.3,52.5,185,580
23.1,55.8,163,510
22.9,56.3,149,485
23.9,54.0,172,545
23.5,55.2,160,515
22.7,57.0,143,475
24.0,53.8,177,555
23.2,54.5,157,500
22.8,56.5,150,490
23.6,55.0,165,520
23.4,54.2,161,505
22.6,57.5,138,465
23.5,55.8,160,510
22.9,54.0,155,495
23.2,56.5,148,505
24.1,52.8,170,560
23.6,55.2,162,515
22.7,56.8,145,485
23.8,54.5,175,540
23.3,55.0,158,500
22.6,57.2,140,470
24.2,53.0,180,570
23.4,54.8,166,525
22.8,56.0,152,490
23.7,55.5,168,530
23.0,54.2,156,495
24.3,52.5,185,580
23.1,55.8,163,510
22.9,56.3,149,485
23.9,54.0,172,545
23.5,55.2,160,515
22.7,57.0,143,475
24.0,53.8,177,555
23.2,54.5,157,500
22.8,56.5,150,490
23.6,55.0,165,520
23.4,54.2,161,505
22.6,57.5,138,465
23.5,55.8,160,510
22.9,54.0,155,495
23.2,56.5,148,505
24.1,52.8,170,560
23.6,55.2,162,515
22.7,56.8,145,485
23.8,54.5,175,540
23.3,55.0,158,500
22.6,57.2,140,470
24.2,53.0,180,570
23.4,54.8,166,525
22.8,56.0,152,490
23.7,55.5,168,530
23.0,54.2,156,495
24.3,52.5,185,580
23.1,55.8,163,510
22.9,56.3,149,485
23.9,54.0,172,545
23.5,55.2,160,515
22.7,57.0,143,475
24.0,53.8,177,555
23.2,54.5,157,500
22.8,56.5,150,490
23.6,55.0,165,520
23.4,54.2,161,505
22.6,57.5,138,465
